lsoa11cd,FHRSID
E01001266,31
E01001267,51
E01001268,52
E01001269,45
E01001270,34
E01001271,37
E01001272,25
E01001273,18
E01001274,21
E01001275,47
E01001276,36
E01001277,30
E01001278,32
E01001279,35
E01001280,34
E01001281,12
E01001282,7
E01001283,21
E01001284,40
E01001285,13
E01001286,16
E01001287,22
E01001288,32
E01001289,64
E01001290,40
E01001291,53
E01001292,66
E01001293,54
E01001294,40
E01001295,38
E01001296,27
E01001297,66
E01001298,73
E01001299,28
E01001300,42
E01001301,37
E01001302,43
E01001303,45
E01001304,35
E01001305,66
E01001306,51
E01001307,45
E01001308,16
E01001309,54
E01001310,42
E01001311,43
E01001312,32
E01001313,33
E01001314,34
E01001315,34
E01001316,32
E01001317,27
E01001318,30
E01001319,33
E01001320,18
E01001321,20
E01001322,20
E01001323,22
E01001324,25
E01001325,17
E01001326,26
E01001327,14
E01001328,14
E01001329,23
E01001330,23
E01001331,24
E01001332,24
E01001333,106
E01001334,54
E01001335,14
E01001336,37
E01001337,24
E01001338,54
E01001339,13
E01001340,13
E01001341,19
E01001342,33
E01001343,19
E01001344,20
E01001345,36
E01001346,23
E01001347,31
E01001348,14
E01001349,36
E01001350,43
E01001351,85
E01001352,49
E01001353,75
E01001354,72
E01001355,90
E01001356,84
E01001357,87
E01001358,71
E01001359,99
E01001360,102
E01001361,103
E01001362,133
E01001363,87
E01001364,101
E01001365,99
E01001366,72
E01001367,83
E01001368,72
E01001369,76
E01001370,63
E01001371,71
E01001372,73
E01001373,80
E01001374,92
E01001375,86
E01001376,84
E01001377,88
E01001379,97
E01001380,50
E01001381,69
E01001382,81
E01001383,85
E01001384,76
E01001385,61
E01001386,75
E01001387,94
E01001388,71
E01001389,85
E01001390,46
E01001391,66
E01001392,34
E01001393,49
E01001394,49
E01001395,38
E01001396,55
E01001397,38
E01001398,20
E01001399,18
E01001400,16
E01001401,23
E01001402,18
E01001403,13
E01001404,20
E01001405,29
E01001406,26
E01001407,7
E01001408,29
E01001409,10
E01001410,9
E01001411,31
E01001412,1
E01001413,22
E01001414,25
E01001415,13
E01001416,11
E01001417,0
E01001418,21
E01001419,9
E01001420,13
E01001421,23
E01001422,1
E01001423,73
E01001424,77
E01001425,100
E01001426,92
E01001427,72
E01001428,83
E01001429,81
E01001430,95
E01001431,88
E01001432,83
E01001433,30
E01001434,35
E01001435,48
E01001436,31
E01001437,27
E01001438,28
E01001439,36
E01001440,43
E01001441,43
E01001442,42
E01001444,34
E01001445,12
E01001446,39
E01001447,32
E01001448,42
E01001449,29
E01001450,37
E01001451,36
E01001452,12
E01001453,8
E01001454,11
E01001455,16
E01001456,24
E01001457,29
E01001458,72
E01001459,39
E01001460,71
E01001461,30
E01001462,59
E01001463,23
E01001464,40
E01001465,19
E01001466,66
E01001467,36
E01001468,2
E01001469,17
E01001470,6
E01001471,14
E01001472,37
E01001473,7
E01001474,14
E01001475,11
E01001476,41
E01001477,31
E01001478,43
E01001479,44
E01001480,33
E01001481,35
E01001482,44
E01001483,30
E01001484,49
E01001485,79
E01001486,67
E01001487,72
E01001488,72
E01001489,70
E01001491,76
E01001492,73
E01001493,27
E01001494,21
E01001495,31
E01001496,30
E01001497,15
E01001498,38
E01001499,24
E01001500,50
E01001501,55
E01001502,37
E01001503,55
E01001504,39
E01001505,56
E01001506,28
E01001507,42
E01001508,44
E01001509,39
E01001510,37
E01001511,31
E01001512,42
E01001513,26
